text,count,topic
httpwwwyelpcombizvicandanthonyssteakhouselasvegas2hridmgfzd4efxbbyyx0o3ad6a,1,0
httpwwwyelpcombizphotosgoldennuggethotelandcasinolasvegas3selectedkdootj5m0uuaaj1hnsqx4uocgfd9n0oblnszrzhwg,1,0
pros,2,1
tank,1,1
awesome,1,1
included,1,3
update,1,3
d,1,3
internet,1,3
ugh,1,7
httpwwwyelpcombizphotosgoldennuggethotelandcasinolasvegas3selectedkdootj5m0uuaaj1hnsqzxvz3flo0znrrdnm66m5g,1,7
nugget,4,8
golden,3,8
pool,3,8
tank,2,8
swimming,2,8
handfull,1,8
shark,1,8
gold,1,8
almost,1,8
fish,1,8
cabanas,1,8
tvs,1,8
channels,1,8
saw,1,8
100,1,8
rundown,1,8
would,1,8
area,1,8
destination,1,8
42,1,8
september,1,8
squatting,1,8
channelswtf,1,8
local,1,8
cableno,1,8
nicetv,1,8
night,1,8
stay,1,8
downtown,1,8
central,1,8
badass,1,8
abandoned,1,8
building,1,8
hbobut,1,8
enormous,1,8
namesake,1,8
room,1,8
18,1,8
also,1,8
2010,1,8
boo,1,8
road,1,8
bed,1,9
one,1,9
jewel,1,10
hands,1,10
crown,1,10
pool,1,10
opinion,1,10
lines,1,13
checkin,1,13
kiosk,1,13
selfserv,1,13
chicken,3,14
food,3,14
soup,2,14
something,2,14
cafe,2,14
cream,2,14
selection,1,14
chinese,1,14
lack,1,14
serving,1,14
ham,1,14
torn,1,14
dumpling,1,14
orange,1,14
daybeds,1,14
updated,1,14
get,1,14
got,1,14
glazed,1,14
areas,1,14
prime,1,14
like,1,14
sparse,1,14
rock,1,14
side,1,14
italian,1,14
ole,1,14
hard,1,14
americanized,1,14
salads,1,14
panda,1,14
lots,1,14
quality,1,14
selected,1,14
3,1,14
expresses,1,14
ass,1,14
umbrellasshade,1,14
cajun,1,14
pancakes,1,14
fruits,1,14
mozzarella,1,14
items,1,14
could,1,14
larger,1,14
favorite,1,14
thing,1,14
american,1,14
puff,1,14
cheese,1,14
golden,2,16
chuggit,1,16
hotel,1,16
huggit,1,16
notsogood,1,16
vegas,196,17
hotel,191,17
nugget,188,17
stay,186,17
pool,172,17
downtown,158,17
golden,149,17
place,146,17
good,139,17
strip,129,17
would,123,17
room,123,17
like,122,17
great,119,17
nice,107,17
get,106,17
one,97,17
really,91,17
time,89,17
buffet,87,17
food,86,17
stayed,83,17
service,81,17
casino,78,17
go,75,17
rooms,75,17
im,68,17
back,67,17
much,65,17
dont,63,17
tower,61,17
staying,60,17
old,58,17
us,57,17
best,56,17
even,55,17
pretty,55,17
ive,54,17
day,53,17
night,52,17
didnt,52,17
well,52,17
tank,51,17
always,51,17
little,50,17
got,49,17
experience,48,17
staff,48,17
area,47,17
better,46,17
room,874,18
pool,615,18
hotel,555,18
nugget,424,18
vegas,397,18
nice,391,18
stay,355,18
tower,353,18
rooms,341,18
golden,332,18
get,326,18
like,309,18
downtown,308,18
strip,287,18
great,286,18
casino,283,18
one,273,18
place,260,18
time,256,18
fremont,254,18
would,249,18
really,247,18
night,237,18
tank,232,18
good,210,18
area,209,18
stayed,203,18
us,199,18
street,193,18
go,186,18
rush,185,18
back,185,18
clean,183,18
water,182,18
slide,181,18
people,179,18
shark,174,18
old,166,18
day,166,18
even,164,18
staff,156,18
service,155,18
got,154,18
didnt,150,18
dont,147,18
also,146,18
well,144,18
check,143,18
pretty,142,18
much,137,18
called,3,19
rooms,2,19
sink,2,19
golden,2,19
hotels,2,19
management,2,19
stay,2,19
refund,1,19
levers,1,19
rating,1,19
results,1,19
defended,1,19
mile,1,19
including,1,19
transformer,1,19
finally,1,19
stained,1,19
smith,1,19
charge,1,19
sorry,1,19
real,1,19
brown,1,19
saying,1,19
risk,1,19
half,1,19
day,1,19
lost,1,19
nugget,1,19
wednesday,1,19
wrote,1,19
manger,1,19
blew,1,19
old,1,19
cordially,1,19
richard,1,19
motel,1,19
tips,1,19
email,1,19
nuggets,1,19
told,1,19
power,1,19
300,1,19
friday,1,19
bathroom,1,19
amex,1,19
staunchly,1,19
rated,1,19
alone,1,19
cracked,1,19
received,1,19
